# From http://www.helmod.org/files/LIS/ProtonLIS_K.txt
# Last line removed because it introduces a discontinuity in the extrapolation to Ekin>100TeV
# Kinetic Energy [GeV], LIS [(m^2 s sr GeV)^{-1}]
Ekin Flux
6.146164842005510991e+02 2.940393671005941804e-04
6.576396380945895999e+02 2.453476478975742214e-04
7.036744127612108741e+02 2.047161208881887243e-04
7.529316216544959843e+02 1.708105923314139790e-04
8.056368351703108601e+02 1.425180494191456216e-04
8.620314136322326704e+02 1.189096739336553650e-04
9.223736125864892301e+02 9.921036212457959747e-05
9.869397654675434524e+02 8.277324947946431062e-05
1.056025549050271820e+03 6.905880950035254821e-05
1.129947337483790761e+03 5.761591726030512202e-05
1.209043651107656615e+03 4.806837259821424631e-05
1.293676706685192812e+03 4.010236144215583760e-05
1.384234076153156366e+03 3.345601505131303967e-05
1.481130461483877752e+03 2.791080602028629025e-05
1.584809593787749691e+03 2.328437599638485446e-05
1.695746265352892124e+03 1.942455235736790557e-05
1.814448503927595311e+03 1.620435644978991086e-05
1.941459899202526913e+03 1.351783359532162644e-05
2.077362092146704526e+03 1.127657330462349957e-05
2.222777438596974207e+03 9.406802890895110095e-06
2.378371859298762956e+03 7.846968078102496105e-06
2.544857889449676804e+03 6.545710113989202782e-06
2.722997941711155363e+03 5.460177701488428995e-06
2.913607797630936602e+03 4.554618944028340542e-06
3.117560343465102505e+03 3.799204298792500231e-06
3.335789567507660649e+03 3.169047365701030132e-06
3.569294837233197086e+03 2.643384920952831072e-06
3.819145475839521623e+03 2.204894237877233070e-06
4.086485659148288505e+03 1.839123492254340894e-06
4.372539655288668655e+03 1.534016125777255214e-06
4.678617431158875661e+03 1.279513711941705465e-06
5.006120651339999313e+03 1.067225137598348253e-06
5.356549096933800683e+03 8.901502948450496936e-07
5.731507533719168350e+03 7.424493842082464083e-07
6.132713061079511135e+03 6.192510264472559012e-07
6.562002975355077979e+03 5.164912803819204581e-07
7.021343183629935083e+03 4.307802058550946355e-07
7.512837206484030503e+03 3.592899659845202799e-07
8.038735810937898350e+03 2.996615647094738240e-07
8.601447317703552471e+03 2.499273182444903699e-07
9.203548629942803018e+03 2.084458417925801552e-07
9.847797034038800120e+03 1.738479607322641617e-07
1.053714282642151920e+04 1.449916136361914959e-07
1.127474282427102662e+04 1.209241793561294098e-07
1.206397482197000318e+04 1.008510600133821811e-07
1.290845305950790498e+04 8.410945641180382319e-08
1.381204477367346044e+04 7.014655813376399637e-08
